epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.402,1.8516,3.18797,1.42622,0.00783,0.4569,0.07087,0.04519,1.26163,3.48464,1.03812,0.00030009,0.00030009,0.00030009
2,212.399,1.33897,1.48574,1.06808,0.99114,0.04196,0.25511,0.16505,1.2223,3.08245,1.01435,0.000590137,0.000590137,0.000590137
3,315.627,1.28378,1.256,1.04637,0.95308,0.14518,0.41779,0.26139,1.15687,2.32547,1.00741,0.000855285,0.000855285,0.000855285
4,419.37,1.25593,1.15368,1.02506,0.43896,0.20056,0.2671,0.16967,1.2707,2.50347,1.07445,0.00109553,0.00109553,0.00109553
5,522.684,1.25103,1.12067,1.02108,0.65847,0.41231,0.5143,0.32435,1.20303,1.71355,1.03763,0.00120265,0.00120265,0.00120265
6,625.646,1.20692,1.01869,1.01401,0.6186,0.5353,0.56445,0.36575,1.18124,1.43876,1.0446,0.00114606,0.00114606,0.00114606
7,727.556,1.17849,0.93848,1.01198,0.73753,0.52371,0.61856,0.38844,1.16451,1.34456,1.0526,0.00108947,0.00108947,0.00108947
8,829.609,1.15181,0.89968,1.00258,0.69245,0.58476,0.63327,0.40044,1.15829,1.13817,1.02505,0.00103288,0.00103288,0.00103288
9,931.793,1.18533,0.87495,0.99633,0.673,0.65298,0.66359,0.42002,1.10702,1.01249,1.00907,0.000976293,0.000976293,0.000976293
10,1034.82,1.11749,0.82956,0.98546,0.65698,0.63511,0.63022,0.4036,1.11002,0.9735,1.00812,0.000919704,0.000919704,0.000919704
11,1136.62,1.11767,0.80736,0.97916,0.7098,0.72034,0.72107,0.46536,1.09624,0.94208,1.00244,0.000863116,0.000863116,0.000863116
12,1238.39,1.13657,0.79516,0.98772,0.77528,0.68244,0.73168,0.46536,1.12546,0.87778,1.01962,0.000806528,0.000806528,0.000806528
13,1342.17,1.12569,0.75151,0.96781,0.8877,0.59334,0.74964,0.48715,1.05923,0.82536,0.9879,0.000749939,0.000749939,0.000749939
14,1444.34,1.09087,0.70972,0.97248,0.7985,0.65267,0.7479,0.50057,1.05594,0.79654,0.97949,0.000693351,0.000693351,0.000693351
15,1546.59,1.06993,0.70314,0.96416,0.7804,0.59955,0.69229,0.45642,1.05545,0.80733,0.97621,0.000636762,0.000636762,0.000636762
16,1647.02,1.07326,0.72006,0.95893,0.81047,0.68737,0.75862,0.50799,1.04597,0.77109,0.97625,0.000580174,0.000580174,0.000580174
17,1747.01,1.06047,0.68732,0.95323,0.8095,0.69363,0.76026,0.52137,1.01351,0.71227,0.96711,0.000523586,0.000523586,0.000523586
18,1847.22,1.03532,0.66451,0.94893,0.79846,0.70363,0.75413,0.50084,1.04866,0.71459,0.98897,0.000466997,0.000466997,0.000466997
19,1947.72,1.0239,0.64102,0.94489,0.80003,0.75067,0.78255,0.52313,1.02785,0.7076,0.97032,0.000410409,0.000410409,0.000410409
20,2047.79,1.02861,0.64014,0.9609,0.75916,0.70319,0.74883,0.49348,1.04248,0.70107,0.97741,0.00035382,0.00035382,0.00035382
21,2148.06,1.02142,0.61382,0.94624,0.84533,0.71815,0.78375,0.53313,1.01057,0.66864,0.96493,0.000297232,0.000297232,0.000297232
22,2249.49,1.00307,0.60379,0.94172,0.79234,0.68923,0.76735,0.53083,0.99826,0.66126,0.95979,0.000240644,0.000240644,0.000240644
23,2350.92,0.99322,0.58307,0.93866,0.82388,0.69831,0.78587,0.53028,1.0167,0.66517,0.96972,0.000184055,0.000184055,0.000184055
24,2452.22,0.96753,0.56924,0.92532,0.84157,0.73095,0.81133,0.55224,0.97758,0.6357,0.95288,0.000127467,0.000127467,0.000127467
25,2553.53,0.97668,0.56099,0.92303,0.82421,0.73736,0.81554,0.55357,1.0084,0.62471,0.96588,7.08784e-05,7.08784e-05,7.08784e-05
